experiment,questions_file,model_id,query_prompt,answer_prompt,judge_prompt,question,faithfulness_score,answer_relevancy_score,contextual_relevancy_score,contextual_recall_score,contextual_precision_score,num_context_chunks
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,default,What are the legal criteria for 3rd party software?,1.0,1.0,0.5625,0.0,1.0,5
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,default,Which programming languages do we use?,1.0,1.0,0.13793103448275862,0.0,0.8333333333333333,5
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,default,What are the central frameworks?,1.0,0.75,0.2903225806451613,0.0,1.0,5
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,default,What are internal and external audits and how do they differ?,1.0,1.0,0.27586206896551724,1.0,1.0,5
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,default,Which different optimizers are offered by virtualQ and what do they do?,1.0,1.0,0.35714285714285715,1.0,1.0,5
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,default,How is the weather?,1.0,1.0,0.0,0.0,0.25,5
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,default,What are the best new graphic cards that you are offering?,1.0,1.0,0.0,0.5,0,5
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,eu.amazon.nova-lite-v1:0,default,qa_terse,default,What are the legal criteria for 3rd party software?,1.0,1.0,0.5625,0.8,1.0,5
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,eu.amazon.nova-lite-v1:0,default,qa_terse,default,Which programming languages do we use?,1.0,0.8,0.13793103448275862,0.0,0.8333333333333333,5
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,eu.amazon.nova-lite-v1:0,default,qa_terse,default,What are the central frameworks?,0.6666666666666666,1.0,0.3125,0.0,1.0,5
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,eu.amazon.nova-lite-v1:0,default,qa_terse,default,What are internal and external audits and how do they differ?,1.0,1.0,0.27586206896551724,1.0,1.0,5
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,eu.amazon.nova-lite-v1:0,default,qa_terse,default,Which different optimizers are offered by virtualQ and what do they do?,1.0,1.0,0.2,1.0,1.0,5
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,eu.amazon.nova-lite-v1:0,default,qa_terse,default,How is the weather?,1.0,1.0,0.0,0.0,0.25,5
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,eu.amazon.nova-lite-v1:0,default,qa_terse,default,What are the best new graphic cards that you are offering?,1.0,1.0,0.0,0.5,0,5
